identifier,description,aa
Q0020, Φορέας Έκδοσης,1
Q0013,Έλληνας Πολίτης,2
Q0014,Αλλοδαπός κατοίκος που ήταν Κινέζος  πολίτης κι έχει αποκτήσει ξένη υπηκοότητα,3
Q0015,Αλλοδαπός κατοίκος που ήταν Ινδός πολίτης κι έχει αποκτήσει ξένη υπηκοότητα,3
Q0016,Κάτοχος Διαβατηρίου 2ης Εθνικότητας,4
Q0017,Σκοπός ταξιδιού (Τουριστική ή Transit),5
Q0018,Διάρκεια ταξιδιού,6
Q0019,Είσοδος στην χώρα μία ή πολλές φορές,7
Q0021,Μέρες διεκπαιρέωσης,8
Q0022,Ασφαλισμένος πολιτης,1
Q0023,Φοιτητής,2
Q0024,Πανεπιστήμιο,3
