answer_id,evidence_id
A0006,EV0001
A0006,EV0002
A0007,EV0002
A0008,EV0003
A0009,EV0003
A0001,EV0004
A0002,EV0005
A0003,EV0006
A0004,EV0007
A0005,EV0008
A0007,EV0008
A0008,EV0008
A0009,EV0008
A0019,EV0008
A0006,EV0009
A0020,EV0009
A0001,EV0011
A0002,EV0011
A0004,EV0011
A0005,EV0011
A0009,EV0011
A0013,EV0011
A0014,EV0011
A0015,EV0011
A0018,EV0011
A0001,EV0012
A0002,EV0012
A0004,EV0012
A0006,EV0012
A0007,EV0012
A0008,EV0012
A0013,EV0012
A0014,EV0012
A0015,EV0012
A0018,EV0012
A0003,EV0013
A0013,EV0013
A0014,EV0013
A0015,EV0013
A0018,EV0013
A0012,EV0014
A0014,EV0014
A0015,EV0014
A0018,EV0014
A0005,EV0015
A0007,EV0015
A0008,EV0015
A0009,EV0015
A0016,EV0015
A0018,EV0015
A0017,EV0016
A0002,EV0017
A0003,EV0017
A0004,EV0018
A0010,EV0019
A0006,EV0020
A0007,EV0020
A0008,EV0020
A0009,EV0020
A0005,EV0021
A0019,EV0021
A0006,EV0022
A0019,EV0022
A0007,EV0023
A0008,EV0023
A0009,EV0023
A0019,EV0023
A0021,EV0024
A0023,EV0025
A0019,EV0026
A0005,EV0027
A0025,EV0027
A0012,EV0028
A0027,EV0029
A0004,EV0030
A0029,EV0030
A0005,EV0031
A0007,EV0031
A0008,EV0031
A0009,EV0031
A0015,EV0031
A0016,EV0031
