Ru_id,Ch_id
Ru0113,Ch0050|Ch0051|Ch0052|Ch0053|Ch0054|Ch0055|Ch0056|Ch0057|Ch0058|Ch0059|Ch0060|Ch0061|Ch0062|Ch0063|Ch0064|Ch0065|Ch0066|Ch0067|Ch0068|Ch0069|Ch0070|Ch0071|Ch0072|Ch0073|Ch0074|Ch0075|Ch0077|Ch0078|Ch0079
Ru0114,Ch0076
Ru0122,Ch0050
Ru0123,Ch0051
Ru0124,Ch0052
Ru0125,Ch0053
Ru0126,Ch0054
Ru0127,Ch0055
Ru0128,Ch0056
Ru0129,Ch0057
Ru0130,Ch0058
Ru0131,Ch0060|Ch0061|Ch0062|Ch0063|Ch0064|Ch0065
Ru0132,Ch0066
Ru0133,Ch0067
Ru0134,Ch0068
Ru0135,Ch0069
Ru0136,Ch0070
Ru0137,Ch0071
Ru0138,Ch0072
Ru0139,Ch0073
Ru0140,Ch0074
Ru0141,Ch0075
Ru0142,Ch0076
Ru0143,Ch0077|Ch0078
Ru0144,Ch0079
